Team,Name,Position,Height,Weight,Age,PTS,TRB,AST,FG%,FG3%,FT%
Oklahoma City Thunder,Tre Mann,Point Guard,6-3,178,21,10.4,2.9,1.5,39.3,36.0,79.3
Oklahoma City Thunder,Mike Muscala,Center,6-10,240,30,6.2,3.2,0.9,45.8,37.7,84.7
Oklahoma City Thunder,Aleksej Pokusevski,Power Forward,7-0,190,20,7.8,5.0,2.2,37.6,28.5,71.7
Oklahoma City Thunder,Jeremiah Robinson-Earl,Center,6-9,230,21,7.5,5.6,1.0,41.4,35.2,74.1
Oklahoma City Thunder,Isaiah Roby,Power Forward,6-8,230,24,9.1,5.1,1.6,49.5,36.5,70.8
Oklahoma City Thunder,Lindy Waters,Shooting Guard,6-6,215,24,8.0,2.9,1.0,40.6,36.3,80.0
Oklahoma City Thunder,Aaron Wiggins,Shooting Guard,6-6,200,23,8.3,3.6,1.4,46.3,30.4,72.9
Oklahoma City Thunder,Kenrich Williams,Power Forward,6-6,210,27,6.5,4.5,2.0,45.3,34.6,54.0
Orlando Magic,Cole Anthony,Point Guard,6-2,185,22,14.9,5.1,5.0,39.3,33.7,84.6
Orlando Magic,Mo Bamba,Center,7-0,231,24,7.7,6.1,0.9,47.5,35.2,68.5
Orlando Magic,Bol Bol,Power Forward,7-2,220,22,2.7,1.2,0.3,47.8,37.8,66.7
Orlando Magic,Ignas Brazdeikis,Small Forward,6-6,221,23,5.0,1.9,0.9,41.6,31.5,68.6
Orlando Magic,Devin Cannady,Point Guard,6-2,183,26,6.5,0.8,0.8,36.1,39.6,78.6
Orlando Magic,Wendell Carter,Center,6-10,270,23,12.2,8.9,2.0,51.3,29.8,73.1
Orlando Magic,Markelle Fultz,Point Guard,6-3,209,24,10.9,3.2,4.8,45.0,26.2,70.8
Orlando Magic,R.J. Hampton,Shooting Guard,6-4,175,21,7.3,3.2,2.1,40.4,33.7,65.3
Orlando Magic,Gary Harris,Shooting Guard,6-4,210,27,11.8,2.5,2.1,44.8,36.3,81.2
Orlando Magic,Jonathan Isaac,Power Forward,6-11,230,24,9.3,5.4,1.1,43.5,33.0,79.7
Orlando Magic,Robin Lopez,Center,7-0,281,34,8.7,4.9,0.8,53.6,29.4,74.2
Orlando Magic,Chuma Okeke,Power Forward,6-6,229,23,8.3,4.6,1.9,39.0,32.6,81.0
Orlando Magic,Terrence Ross,Shooting Guard,6-6,206,31,11.2,2.8,1.3,41.7,36.1,83.9
Orlando Magic,Admiral Schofield,Small Forward,6-5,241,25,3.5,1.9,0.6,40.3,32.1,73.3
Orlando Magic,Jalen Suggs,Point Guard,6-4,205,21,11.8,3.6,4.4,36.1,21.4,77.3
Orlando Magic,Franz Wagner,Small Forward,6-9,225,20,15.2,4.5,2.9,46.8,35.4,86.3
Orlando Magic,Moritz Wagner,Center,6-11,245,25,7.5,3.5,1.1,48.7,32.1,81.3
Philadelphia 76ers,Charles Bassey,Power Forward,6-11,235,21,3.0,2.7,0.3,63.8,0.0,75.0
Philadelphia 76ers,Charlie Brown,Shooting Guard,6-6,199,25,2.2,1.3,0.4,28.7,21.4,92.0
Philadelphia 76ers,Joel Embiid,Center,7-0,280,28,26.0,11.4,3.3,49.0,33.8,81.0
Philadelphia 76ers,Danny Green,Shooting Guard,6-6,215,34,8.7,3.4,1.6,42.1,39.9,80.4
Philadelphia 76ers,James Harden,Shooting Guard,6-5,220,32,24.9,5.6,6.8,44.2,36.1,86.0
Philadelphia 76ers,Tobias Harris,Power Forward,6-8,226,29,16.4,6.2,2.3,47.6,36.7,82.8
Philadelphia 76ers,Isaiah Joe,Shooting Guard,6-4,165,22,3.7,1.0,0.6,35.5,34.9,85.5
Philadelphia 76ers,DeAndre Jordan,Center,6-11,265,33,9.1,10.3,1.0,67.3,8.3,47.5
Philadelphia 76ers,Furkan Korkmaz,Shooting Guard,6-7,202,24,7.9,2.2,1.3,40.5,35.5,76.9
Philadelphia 76ers,Tyrese Maxey,Point Guard,6-2,200,21,13.2,2.5,3.2,47.8,39.6,86.7
Philadelphia 76ers,Paul Millsap,Power Forward,6-7,257,37,13.4,7.1,2.2,48.9,34.1,73.6
Philadelphia 76ers,Shake Milton,Shooting Guard,6-5,205,25,9.7,2.3,2.6,44.7,36.1,81.9
Philadelphia 76ers,Georges Niang,Power Forward,6-7,230,28,6.1,2.0,0.8,43.7,40.4,87.3
Philadelphia 76ers,Myles Powell,Point Guard,6-2,195,24,1.2,0.5,0.3,29.4,16.7,100.0
Philadelphia 76ers,Paul Reed,Center,6-9,210,22,3.2,2.4,0.4,55.2,14.3,45.5
Philadelphia 76ers,Jaden Springer,Shooting Guard,6-4,204,19,1.0,1.0,0.0,100.0,-,-
Philadelphia 76ers,Matisse Thybulle,Shooting Guard,6-5,201,25,4.8,1.9,1.1,45.0,32.4,65.7
Phoenix Suns,Deandre Ayton,Center,6-11,250,23,16.3,10.5,1.6,59.9,25.0,75.4
Phoenix Suns,Bismack Biyombo,Center,6-8,255,29,5.2,6.1,0.6,53.0,0.0,56.4
Phoenix Suns,Devin Booker,Shooting Guard,6-5,206,25,23.5,3.9,4.7,45.7,35.7,87.0
Phoenix Suns,Mikal Bridges,Small Forward,6-6,209,25,11.3,3.9,2.1,50.9,37.4,83.1
Phoenix Suns,Torrey Craig,Small Forward,6-7,221,31,5.7,3.6,0.9,45.6,33.0,69.3
Phoenix Suns,Jae Crowder,Small Forward,6-6,235,31,9.6,4.3,1.6,41.7,34.6,77.7
Phoenix Suns,Aaron Holiday,Point Guard,6-0,185,25,7.3,1.8,2.4,41.2,37.3,84.0
Phoenix Suns,Cameron Johnson,Power Forward,6-8,210,26,10.4,3.6,1.4,44.0,39.0,84.3
Phoenix Suns,Gabriel Lundberg,Shooting Guard,6-4,203,27,3.3,1.8,2.8,26.3,37.5,-
Phoenix Suns,JaVale McGee,Center,7-0,270,34,8.0,5.3,0.4,57.6,18.2,60.5
Phoenix Suns,Chris Paul,Point Guard,6-0,175,37,18.1,4.5,9.5,47.3,36.9,87.1
Phoenix Suns,Cameron Payne,Point Guard,6-1,183,27,7.6,2.2,3.2,42.1,36.2,83.0
Phoenix Suns,Elfrid Payton,Point Guard,6-3,195,28,10.1,4.0,5.7,44.7,28.7,62.3
Phoenix Suns,Dario Saric,Power Forward,6-10,225,28,11.7,5.9,2.0,44.1,35.7,83.8
Phoenix Suns,Landry Shamet,Shooting Guard,6-4,190,25,9.0,1.8,1.6,41.0,39.0,83.5
Phoenix Suns,Ish Wainright,Power Forward,6-6,250,27,2.4,1.2,0.3,39.4,32.2,58.3
Portland Trail Blazers,Eric Bledsoe,Point Guard,6-1,214,32,13.7,3.9,4.7,45.2,33.6,78.4
Portland Trail Blazers,Keljin Blevins,Small Forward,6-4,200,26,2.2,1.1,0.5,29.8,28.8,54.5
Portland Trail Blazers,Greg Brown,Small Forward,6-9,205,20,4.7,2.8,0.7,42.6,31.1,67.7
Portland Trail Blazers,CJ Elleby,Small Forward,6-6,200,21,4.6,2.9,1.1,39.0,27.5,71.7
Portland Trail Blazers,Josh Hart,Small Forward,6-5,215,27,9.9,5.7,2.1,45.0,34.7,73.9
Portland Trail Blazers,Elijah Hughes,Small Forward,6-5,215,24,2.9,1.2,0.5,32.8,28.0,76.9
Portland Trail Blazers,Joe Ingles,Small Forward,6-8,220,34,8.6,3.2,3.8,44.9,40.8,76.8
Portland Trail Blazers,Keon Johnson,Shooting Guard,6-5,186,20,7.2,2.2,2.1,35.3,34.0,80.4
Portland Trail Blazers,Damian Lillard,Point Guard,6-2,195,31,24.6,4.2,6.6,43.7,37.3,89.3
Portland Trail Blazers,Nassir Little,Power Forward,6-5,220,22,5.8,3.4,0.7,45.5,31.7,72.7
Portland Trail Blazers,Didi Louzada,Small Forward,6-5,188,23,3.6,1.7,0.7,32.6,35.5,100.0
Portland Trail Blazers,Ben McLemore,Shooting Guard,6-3,195,29,9.0,2.3,1.0,41.4,36.3,78.0
Portland Trail Blazers,Jusuf Nurkic,Center,6-11,290,27,12.2,8.5,2.2,50.0,23.2,67.2
Portland Trail Blazers,Anfernee Simons,Shooting Guard,6-3,181,23,10.2,2.2,2.0,42.5,39.2,83.3
Portland Trail Blazers,Trendon Watford,Small Forward,6-9,240,21,7.6,4.1,1.7,53.2,23.7,75.5
Portland Trail Blazers,Brandon Williams,Point Guard,6-2,190,22,12.9,3.1,3.9,37.2,29.2,70.1
Portland Trail Blazers,Justise Winslow,Small Forward,6-6,222,26,8.4,5.1,2.5,41.3,31.5,63.4
Sacramento Kings,Harrison Barnes,Power Forward,6-8,225,30,14.1,5.1,1.8,45.3,37.9,80.4
Sacramento Kings,Terence Davis,Shooting Guard,6-4,201,25,8.5,3.0,1.5,43.7,36.6,83.5
Sacramento Kings,Donte DiVincenzo,Shooting Guard,6-4,203,25,9.0,4.6,2.5,41.5,34.7,76.6
Sacramento Kings,De'Aaron Fox,Point Guard,6-3,185,24,19.1,3.5,6.2,46.2,32.0,72.5
Sacramento Kings,Maurice Harkless,Small Forward,6-7,220,29,6.9,3.5,0.9,47.4,32.0,62.4
Sacramento Kings,Justin Holiday,Shooting Guard,6-6,180,33,8.7,3.0,1.5,39.8,36.5,82.0
Sacramento Kings,Richaun Holmes,Center,6-10,235,28,9.6,5.8,1.1,60.5,25.6,74.6
Sacramento Kings,Josh Jackson,Small Forward,6-8,207,25,11.3,4.0,1.8,41.6,29.2,68.0
Sacramento Kings,Damian Jones,Center,6-11,245,26,5.6,3.4,0.8,66.5,30.2,70.2
Sacramento Kings,Jeremy Lamb,Shooting Guard,6-5,180,30,10.1,3.6,1.6,43.9,34.2,85.7
Sacramento Kings,Alex Len,Center,7-0,250,28,7.7,5.9,0.9,50.7,32.9,68.3
Sacramento Kings,Trey Lyles,Power Forward,6-9,234,26,7.8,4.3,1.1,44.1,33.8,73.7
Sacramento Kings,Chimezie Metu,Center,6-9,225,25,6.1,3.6,0.8,46.3,30.8,76.2
Sacramento Kings,Davion Mitchell,Point Guard,6-2,205,23,11.5,2.2,4.2,41.8,31.6,65.9
Sacramento Kings,Neemias Queta,Center,7-0,245,22,3.2,2.2,0.4,44.7,-,64.7
Sacramento Kings,Domantas Sabonis,Power Forward,6-11,240,26,14.4,9.2,3.6,53.4,31.9,72.8
San Antonio Spurs,Keita Bates-Diop,Small Forward,6-8,229,26,5.2,3.0,0.6,46.2,30.4,71.4
San Antonio Spurs,Devontae Cacok,Power Forward,6-7,240,25,2.5,2.2,0.2,62.1,-,50.0
San Antonio Spurs,Zach Collins,Power Forward,6-11,250,24,6.0,4.2,1.1,45.2,32.7,74.3
San Antonio Spurs,Keldon Johnson,Small Forward,6-5,220,22,14.4,5.8,1.8,47.8,38.5,75.3
San Antonio Spurs,Tre Jones,Point Guard,6-1,185,22,4.8,1.7,2.6,48.7,23.2,80.0
San Antonio Spurs,Jock Landale,Center,6-11,256,26,4.9,2.6,0.8,49.5,32.6,82.9
San Antonio Spurs,Romeo Langford,Shooting Guard,6-4,216,22,3.6,1.9,0.5,40.0,30.0,63.3
San Antonio Spurs,Doug McDermott,Small Forward,6-7,225,30,9.2,2.3,0.9,47.6,40.9,82.0
San Antonio Spurs,Dejounte Murray,Point Guard,6-4,180,25,12.5,6.0,4.8,45.5,33.0,77.1
San Antonio Spurs,Jakob Poeltl,Center,7-1,245,26,7.3,6.1,1.4,62.8,66.7,51.8
San Antonio Spurs,Joshua Primo,Shooting Guard,6-6,190,19,5.8,2.3,1.6,37.4,30.7,74.6
San Antonio Spurs,Josh Richardson,Shooting Guard,6-5,200,28,12.0,3.1,2.7,42.8,36.5,83.9
Toronto Raptors,Precious Achiuwa,Center,6-8,225,22,7.2,5.1,0.8,46.8,35.7,55.6
Toronto Raptors,OG Anunoby,Small Forward,6-7,232,24,10.4,4.1,1.4,47.0,37.2,70.9
Toronto Raptors,Dalano Banton,Point Guard,6-9,204,22,3.2,1.9,1.5,41.1,25.5,59.1
Toronto Raptors,Scottie Barnes,Power Forward,6-9,227,20,15.3,7.5,3.5,49.2,30.1,73.5
Toronto Raptors,Khem Birch,Center,6-9,233,29,5.2,4.6,1.0,51.8,19.1,69.7
Toronto Raptors,Isaac Bonga,Small Forward,6-8,180,22,3.1,2.2,0.8,43.2,30.0,75.9
Toronto Raptors,Chris Boucher,Power Forward,6-9,200,29,9.0,5.3,0.5,48.3,33.5,78.5
Toronto Raptors,Armoni Brooks,Shooting Guard,6-3,195,24,6.9,2.3,1.2,36.6,33.0,75.8
Toronto Raptors,Justin Champagnie,Small Forward,6-6,200,20,2.3,2.0,0.3,46.3,35.7,100.0
Toronto Raptors,Malachi Flynn,Point Guard,6-1,175,24,6.0,2.0,2.3,38.0,32.6,75.0
Toronto Raptors,David Johnson,Shooting Guard,6-5,210,21,0.0,0.0,0.0,0.0,0.0,-
Toronto Raptors,Svi Mykhailiuk,Small Forward,6-7,205,25,6.6,1.8,1.4,39.8,35.3,78.5
Toronto Raptors,Pascal Siakam,Power Forward,6-9,230,28,15.7,6.3,3.1,48.9,32.8,77.4
Toronto Raptors,Gary Trent,Shooting Guard,6-5,209,23,13.5,2.2,1.4,41.6,38.9,82.0
Toronto Raptors,Fred VanVleet,Point Guard,6-1,197,28,13.7,3.2,4.9,40.4,38.2,86.0
Toronto Raptors,Yuta Watanabe,Small Forward,6-9,215,27,3.8,2.5,0.6,40.9,35.2,66.7
Toronto Raptors,Thaddeus Young,Power Forward,6-8,235,33,12.8,5.8,1.8,50.2,33.2,66.3
Utah Jazz,Nickeil Alexander-Walker,Shooting Guard,6-6,205,23,9.3,2.6,2.2,38.7,32.9,72.6
Utah Jazz,Udoka Azubuike,Center,6-10,280,22,3.0,2.6,0.0,70.7,-,66.7
Utah Jazz,Bojan Bogdanovic,Small Forward,6-7,226,33,15.0,3.6,1.6,45.7,39.2,86.1
Utah Jazz,Jared Butler,Shooting Guard,6-3,195,21,3.8,1.1,1.5,40.4,31.8,68.8
Utah Jazz,Jordan Clarkson,Shooting Guard,6-4,194,30,15.4,3.3,2.5,43.9,33.8,82.7
Utah Jazz,Mike Conley,Point Guard,6-1,175,34,14.8,3.0,5.6,43.9,38.2,82.0
Utah Jazz,Trent Forrest,Point Guard,6-4,210,23,3.1,1.6,1.7,47.8,18.9,85.1
Utah Jazz,Rudy Gay,Small Forward,6-8,250,35,16.3,5.8,2.1,45.3,34.9,79.9
Utah Jazz,Rudy Gobert,Center,7-1,258,29,12.4,11.7,1.3,65.3,0.0,63.8
Utah Jazz,Juancho Hernangomez,Power Forward,6-9,214,26,5.4,3.4,0.6,42.8,35.1,68.1
Utah Jazz,Danuel House,Small Forward,6-6,220,29,8.5,3.6,1.3,42.7,36.6,76.4
Utah Jazz,Donovan Mitchell,Shooting Guard,6-1,215,25,23.9,4.2,4.5,44.1,36.1,83.3
Utah Jazz,Royce O'Neale,Small Forward,6-4,226,29,6.2,4.8,2.1,44.8,38.1,79.6
Utah Jazz,Eric Paschall,Power Forward,6-6,255,25,9.8,3.2,1.4,49.4,32.6,75.8
Utah Jazz,Xavier Sneed,Small Forward,6-5,215,24,0.6,0.7,0.1,20.0,12.5,-
Utah Jazz,Hassan Whiteside,Center,7-0,265,32,12.6,10.8,0.6,58.6,30.8,60.5
Washington Wizards,Deni Avdija,Small Forward,6-9,210,21,7.6,5.1,1.7,42.6,31.6,72.9
Washington Wizards,Bradley Beal,Shooting Guard,6-4,207,28,22.1,4.1,4.2,45.6,37.2,82.1
Washington Wizards,Thomas Bryant,Center,6-10,248,24,10.2,5.7,1.3,59.0,35.0,76.4
Washington Wizards,Kentavious Caldwell-Pope,Shooting Guard,6-5,204,29,11.6,3.1,1.7,42.1,36.0,81.3
Washington Wizards,Vernon Carey,Center,6-9,270,21,2.5,1.5,0.1,51.0,14.3,62.5
Washington Wizards,Daniel Gafford,Center,6-10,234,23,7.6,4.4,0.7,69.2,0.0,65.7
Washington Wizards,Anthony Gill,Power Forward,6-7,230,29,3.7,1.9,0.5,54.4,42.0,80.9
Washington Wizards,Rui Hachimura,Power Forward,6-8,230,24,13.0,5.2,1.5,47.7,36.0,77.9
Washington Wizards,Corey Kispert,Small Forward,6-7,220,23,8.2,2.7,1.1,45.5,35.0,87.1
Washington Wizards,Kyle Kuzma,Power Forward,6-9,221,26,15.6,6.2,2.2,44.9,33.9,72.3
Washington Wizards,Raul Neto,Point Guard,6-1,180,30,6.0,1.6,2.2,45.5,36.6,80.4
Washington Wizards,Kristaps Porzingis,Power Forward,7-3,240,26,18.9,7.9,1.6,44.4,35.3,82.0
Washington Wizards,Tomas Satoransky,Shooting Guard,6-7,210,30,6.9,2.9,4.1,46.8,35.4,82.0
Washington Wizards,Jordan Schakel,Shooting Guard,6-6,200,23,1.3,2.0,0.0,9.1,16.7,100.0
Washington Wizards,Ish Smith,Point Guard,6-0,175,33,7.6,2.5,3.9,43.0,32.5,67.7
Washington Wizards,Isaiah Todd,Power Forward,6-10,220,20,1.7,1.0,0.3,26.9,25.0,33.3
Washington Wizards,Cassius Winston,Point Guard,6-1,185,24,1.9,0.3,0.7,40.9,43.5,90.0
